round,world_label,model,decisions_done,elapsed_s,personas_in_run,users_done_equiv
1,v2_s10_w0,llama3.1:8b,0,0.0,50,0.0
1,v2_s10_w0,llama3.1:8b,250,308.0,50,5.0
1,v2_s10_w0,llama3.1:8b,500,620.0,50,10.0
1,v2_s10_w0,llama3.1:8b,750,930.0,50,15.0
1,v2_s10_w0,llama3.1:8b,1000,1235.0,50,20.0
1,v2_s10_w0,llama3.1:8b,1250,1537.0,50,25.0
1,v2_s10_w0,llama3.1:8b,1500,1841.0,50,30.0
1,v2_s10_w0,llama3.1:8b,1750,2149.0,50,35.0
1,v2_s10_w0,llama3.1:8b,2000,2451.0,50,40.0
1,v2_s10_w0,llama3.1:8b,2250,2754.0,50,45.0
1,v2_s10_w0,llama3.1:8b,2500,3061.0,50,50.0
1,v2_s10_w0,llama3.1:8b,2500,3061.0,50,50.0
1,v2_s10_w0,gemma4:e2b,0,0.0,49,0.0
1,v2_s10_w0,gemma4:e2b,250,83.0,49,5.0
1,v2_s10_w0,gemma4:e2b,500,162.0,49,10.0
1,v2_s10_w0,gemma4:e2b,750,245.0,49,15.0
1,v2_s10_w0,gemma4:e2b,1000,326.0,49,20.0
1,v2_s10_w0,gemma4:e2b,1250,410.0,49,25.0
1,v2_s10_w0,gemma4:e2b,1500,492.0,49,30.0
1,v2_s10_w0,gemma4:e2b,1750,576.0,49,35.0
1,v2_s10_w0,gemma4:e2b,2000,658.0,49,40.0
1,v2_s10_w0,gemma4:e2b,2250,742.0,49,45.0
1,v2_s10_w0,gemma4:e2b,2450,807.0,49,49.0
2,v2_s10_w1,llama3.1:8b,0,0.0,49,0.0
2,v2_s10_w1,llama3.1:8b,250,312.0,49,5.0
2,v2_s10_w1,llama3.1:8b,500,621.0,49,10.0
2,v2_s10_w1,llama3.1:8b,750,926.0,49,15.0
2,v2_s10_w1,llama3.1:8b,1000,1231.0,49,20.0
2,v2_s10_w1,llama3.1:8b,1250,1536.0,49,25.0
2,v2_s10_w1,llama3.1:8b,1500,1857.0,49,30.0
2,v2_s10_w1,llama3.1:8b,1750,2195.0,49,35.0
2,v2_s10_w1,llama3.1:8b,2000,2539.0,49,40.0
2,v2_s10_w1,llama3.1:8b,2250,2857.0,49,45.0
2,v2_s10_w1,llama3.1:8b,2450,3107.0,49,49.0
2,v2_s10_w1,gemma4:e2b,0,0.0,50,0.0
2,v2_s10_w1,gemma4:e2b,250,88.0,50,5.0
2,v2_s10_w1,gemma4:e2b,500,175.0,50,10.0
2,v2_s10_w1,gemma4:e2b,750,260.0,50,15.0
2,v2_s10_w1,gemma4:e2b,1000,344.0,50,20.0
2,v2_s10_w1,gemma4:e2b,1250,429.0,50,25.0
2,v2_s10_w1,gemma4:e2b,1500,515.0,50,30.0
2,v2_s10_w1,gemma4:e2b,1750,605.0,50,35.0
2,v2_s10_w1,gemma4:e2b,2000,691.0,50,40.0
2,v2_s10_w1,gemma4:e2b,2250,780.0,50,45.0
2,v2_s10_w1,gemma4:e2b,2500,866.0,50,50.0
2,v2_s10_w1,gemma4:e2b,2500,866.0,50,50.0
