round,world_label,post_set_seed,world,format,calls,model,users,decisions,minutes,seconds_per_decision,posts,started_at,finished_at
1,v2_s10_w0,10,0,scroll,2500,llama3.1:8b,50,2500,51.02,1.224,50,2026-09-24T09:32:14.354961,2026-09-24T10:36:53.660969
1,v2_s10_w0,10,0,scroll,2450,gemma4:e2b,49,2450,13.46,0.33,50,2026-09-24T09:32:14.354961,2026-09-24T10:36:53.660969
2,v2_s10_w1,10,1,scroll,2450,llama3.1:8b,49,2450,51.78,1.268,50,2026-09-24T10:37:06.312320,2026-09-24T11:43:29.475046
2,v2_s10_w1,10,1,scroll,2500,gemma4:e2b,50,2500,14.43,0.346,50,2026-09-24T10:37:06.312320,2026-09-24T11:43:29.475046
3,v2_s11_w0,11,0,scroll,2500,llama3.1:8b,50,2500,54.34,1.304,50,2026-09-24T11:47:10.552751,2026-09-24T12:55:42.411875
3,v2_s11_w0,11,0,scroll,2450,gemma4:e2b,49,2450,14.0,0.343,50,2026-09-24T11:47:10.552751,2026-09-24T12:55:42.411875
4,v2_s11_w1,11,1,scroll,2450,llama3.1:8b,49,2450,50.39,1.234,50,2026-09-24T12:55:55.354345,2026-09-24T14:00:36.739527
4,v2_s11_w1,11,1,scroll,2500,gemma4:e2b,50,2500,14.12,0.339,50,2026-09-24T12:55:55.354345,2026-09-24T14:00:36.739527
5,v2_s12_w0,12,0,scroll,1101,llama3.1:8b,50,1101,22.88,1.247,50,2026-09-25T12:09:20.251934,2026-09-25T12:46:08.168103
5,v2_s12_w0,12,0,scroll,2450,gemma4:e2b,49,2450,13.73,0.336,50,2026-09-25T12:09:20.251934,2026-09-25T12:46:08.168103
6,v2_s12_w1,12,1,scroll,2450,llama3.1:8b,49,2450,50.59,1.239,50,2026-09-25T12:46:20.703580,2026-09-25T13:51:12.167919
6,v2_s12_w1,12,1,scroll,2500,gemma4:e2b,50,2500,14.26,0.342,50,2026-09-25T12:46:20.703580,2026-09-25T13:51:12.167919
7,v2_s13_w0,13,0,scroll,2500,llama3.1:8b,50,2500,55.09,1.322,50,2026-09-25T13:55:15.287824,2026-09-25T15:04:59.373508
7,v2_s13_w0,13,0,scroll,2450,gemma4:e2b,49,2450,14.63,0.358,50,2026-09-25T13:55:15.287824,2026-09-25T15:04:59.373508
8,v2_s13_w1,13,1,scroll,113,llama3.1:8b,49,113,2.37,1.26,50,2026-09-25T21:37:48.192678,2026-09-25T21:54:20.277873
8,v2_s13_w1,13,1,scroll,2500,gemma4:e2b,50,2500,14.03,0.337,50,2026-09-25T21:37:48.192678,2026-09-25T21:54:20.277873
9,v2_s14_w0,14,0,scroll,2500,llama3.1:8b,50,2500,50.87,1.221,50,2026-09-25T21:58:48.564735,2026-09-25T23:03:16.118362
9,v2_s14_w0,14,0,scroll,2450,gemma4:e2b,49,2450,13.58,0.333,50,2026-09-25T21:58:48.564735,2026-09-25T23:03:16.118362
10,v2_s14_w1,14,1,scroll,2450,llama3.1:8b,49,2450,49.8,1.22,50,2026-09-25T23:03:28.456679,2026-09-26T00:07:08.720761
10,v2_s14_w1,14,1,scroll,2500,gemma4:e2b,50,2500,13.86,0.333,50,2026-09-25T23:03:28.456679,2026-09-26T00:07:08.720761
11,v2_s15_w0,15,0,scroll,2500,llama3.1:8b,50,2500,50.7,1.217,50,2026-09-26T00:12:10.414677,2026-09-26T01:16:32.580241
11,v2_s15_w0,15,0,scroll,2450,gemma4:e2b,49,2450,13.66,0.335,50,2026-09-26T00:12:10.414677,2026-09-26T01:16:32.580241
12,v2_s15_w1,15,1,scroll,2450,llama3.1:8b,49,2450,49.84,1.221,50,2026-09-26T01:16:44.907060,2026-09-26T02:20:31.101967
12,v2_s15_w1,15,1,scroll,2500,gemma4:e2b,50,2500,13.92,0.334,50,2026-09-26T01:16:44.907060,2026-09-26T02:20:31.101967
13,v2_s16_w0,16,0,scroll,2500,llama3.1:8b,50,2500,50.75,1.218,50,2026-09-26T05:39:26.586294,2026-09-26T06:43:49.032999
13,v2_s16_w0,16,0,scroll,2450,gemma4:e2b,49,2450,13.62,0.333,50,2026-09-26T05:39:26.586294,2026-09-26T06:43:49.032999
14,v2_s16_w1,16,1,scroll,2450,llama3.1:8b,49,2450,49.74,1.218,50,2026-09-26T06:44:01.400084,2026-09-26T07:47:38.798908
14,v2_s16_w1,16,1,scroll,2500,gemma4:e2b,50,2500,13.88,0.333,50,2026-09-26T06:44:01.400084,2026-09-26T07:47:38.798908
