round,world_label,model,decisions_done,elapsed_s,personas_in_run,users_done_equiv
1,ab_s20_scroll_w0,llama3.1:8b,0,0.0,25,0.0
1,ab_s20_scroll_w0,llama3.1:8b,250,307.0,25,5.21
1,ab_s20_scroll_w0,llama3.1:8b,500,604.0,25,10.42
1,ab_s20_scroll_w0,llama3.1:8b,750,906.0,25,15.62
1,ab_s20_scroll_w0,llama3.1:8b,1000,1197.0,25,20.83
1,ab_s20_scroll_w0,llama3.1:8b,1200,1424.0,25,25.0
1,ab_s20_scroll_w0,gemma4:e2b,0,0.0,25,0.0
1,ab_s20_scroll_w0,gemma4:e2b,250,83.0,25,5.21
1,ab_s20_scroll_w0,gemma4:e2b,500,164.0,25,10.42
1,ab_s20_scroll_w0,gemma4:e2b,750,245.0,25,15.62
1,ab_s20_scroll_w0,gemma4:e2b,1000,325.0,25,20.83
1,ab_s20_scroll_w0,gemma4:e2b,1200,391.0,25,25.0
2,ab_s20_scroll_w1,llama3.1:8b,0,0.0,25,0.0
2,ab_s20_scroll_w1,llama3.1:8b,250,300.0,25,5.21
2,ab_s20_scroll_w1,llama3.1:8b,500,592.0,25,10.42
2,ab_s20_scroll_w1,llama3.1:8b,750,889.0,25,15.62
2,ab_s20_scroll_w1,llama3.1:8b,1000,1193.0,25,20.83
2,ab_s20_scroll_w1,llama3.1:8b,1200,1433.0,25,25.0
2,ab_s20_scroll_w1,gemma4:e2b,0,0.0,25,0.0
2,ab_s20_scroll_w1,gemma4:e2b,250,82.0,25,5.21
2,ab_s20_scroll_w1,gemma4:e2b,500,164.0,25,10.42
2,ab_s20_scroll_w1,gemma4:e2b,750,245.0,25,15.62
2,ab_s20_scroll_w1,gemma4:e2b,1000,326.0,25,20.83
2,ab_s20_scroll_w1,gemma4:e2b,1200,391.0,25,25.0
3,ab_s20_pair_w0,llama3.1:8b,0,0.0,25,0.0
3,ab_s20_pair_w0,llama3.1:8b,250,551.0,25,5.21
3,ab_s20_pair_w0,llama3.1:8b,500,1099.0,25,10.42
3,ab_s20_pair_w0,llama3.1:8b,600,1303.0,25,12.5
3,ab_s20_pair_w0,gemma4:e2b,0,0.0,25,0.0
3,ab_s20_pair_w0,gemma4:e2b,250,142.0,25,5.21
3,ab_s20_pair_w0,gemma4:e2b,500,281.0,25,10.42
3,ab_s20_pair_w0,gemma4:e2b,600,337.0,25,12.5
4,ab_s20_pair_w1,llama3.1:8b,0,0.0,25,0.0
4,ab_s20_pair_w1,llama3.1:8b,250,533.0,25,5.21
4,ab_s20_pair_w1,llama3.1:8b,500,1059.0,25,10.42
4,ab_s20_pair_w1,llama3.1:8b,600,1268.0,25,12.5
4,ab_s20_pair_w1,gemma4:e2b,0,0.0,25,0.0
4,ab_s20_pair_w1,gemma4:e2b,250,141.0,25,5.21
4,ab_s20_pair_w1,gemma4:e2b,500,280.0,25,10.42
4,ab_s20_pair_w1,gemma4:e2b,600,336.0,25,12.5
5,ab_s21_pair_w0,llama3.1:8b,0,0.0,25,0.0
5,ab_s21_pair_w0,llama3.1:8b,250,548.0,25,5.43
5,ab_s21_pair_w0,llama3.1:8b,500,1082.0,25,10.87
5,ab_s21_pair_w0,llama3.1:8b,575,1239.0,25,12.5
5,ab_s21_pair_w0,gemma4:e2b,0,0.0,25,0.0
5,ab_s21_pair_w0,gemma4:e2b,250,141.0,25,5.43
5,ab_s21_pair_w0,gemma4:e2b,500,280.0,25,10.87
5,ab_s21_pair_w0,gemma4:e2b,575,322.0,25,12.5
6,ab_s21_pair_w1,llama3.1:8b,0,0.0,25,0.0
6,ab_s21_pair_w1,llama3.1:8b,250,536.0,25,5.43
6,ab_s21_pair_w1,llama3.1:8b,500,1084.0,25,10.87
6,ab_s21_pair_w1,llama3.1:8b,575,1243.0,25,12.5
6,ab_s21_pair_w1,gemma4:e2b,0,0.0,25,0.0
6,ab_s21_pair_w1,gemma4:e2b,250,141.0,25,5.43
6,ab_s21_pair_w1,gemma4:e2b,500,280.0,25,10.87
6,ab_s21_pair_w1,gemma4:e2b,575,323.0,25,12.5
7,ab_s21_scroll_w0,llama3.1:8b,0,0.0,25,0.0
7,ab_s21_scroll_w0,llama3.1:8b,250,303.0,25,5.43
7,ab_s21_scroll_w0,llama3.1:8b,500,598.0,25,10.87
7,ab_s21_scroll_w0,llama3.1:8b,750,893.0,25,16.3
7,ab_s21_scroll_w0,llama3.1:8b,1000,1191.0,25,21.74
7,ab_s21_scroll_w0,llama3.1:8b,1150,1363.0,25,25.0
7,ab_s21_scroll_w0,gemma4:e2b,0,0.0,25,0.0
7,ab_s21_scroll_w0,gemma4:e2b,250,82.0,25,5.43
7,ab_s21_scroll_w0,gemma4:e2b,500,163.0,25,10.87
7,ab_s21_scroll_w0,gemma4:e2b,750,245.0,25,16.3
7,ab_s21_scroll_w0,gemma4:e2b,1000,326.0,25,21.74
7,ab_s21_scroll_w0,gemma4:e2b,1150,376.0,25,25.0
8,ab_s21_scroll_w1,llama3.1:8b,0,0.0,25,0.0
8,ab_s21_scroll_w1,llama3.1:8b,250,300.0,25,5.43
8,ab_s21_scroll_w1,llama3.1:8b,500,586.0,25,10.87
8,ab_s21_scroll_w1,llama3.1:8b,750,895.0,25,16.3
8,ab_s21_scroll_w1,llama3.1:8b,1000,1197.0,25,21.74
8,ab_s21_scroll_w1,llama3.1:8b,1150,1372.0,25,25.0
8,ab_s21_scroll_w1,gemma4:e2b,0,0.0,25,0.0
8,ab_s21_scroll_w1,gemma4:e2b,250,82.0,25,5.43
8,ab_s21_scroll_w1,gemma4:e2b,500,163.0,25,10.87
8,ab_s21_scroll_w1,gemma4:e2b,750,245.0,25,16.3
8,ab_s21_scroll_w1,gemma4:e2b,1000,326.0,25,21.74
8,ab_s21_scroll_w1,gemma4:e2b,1150,375.0,25,25.0
