round,world_label,post_set_seed,world,format,calls,model,users,decisions,minutes,seconds_per_decision,posts,started_at,finished_at
1,ab_s20_scroll_w0,20,0,scroll,1200,llama3.1:8b,25,1200,23.74,1.187,48,2026-09-26T08:52:11.025617,2026-09-26T09:22:26.018279
1,ab_s20_scroll_w0,20,0,scroll,1200,gemma4:e2b,25,1200,6.5,0.325,48,2026-09-26T08:52:11.025617,2026-09-26T09:22:26.018279
2,ab_s20_scroll_w1,20,1,scroll,1200,llama3.1:8b,25,1200,23.88,1.194,48,2026-09-26T09:22:37.645440,2026-09-26T09:53:02.193972
2,ab_s20_scroll_w1,20,1,scroll,1200,gemma4:e2b,25,1200,6.52,0.326,48,2026-09-26T09:22:37.645440,2026-09-26T09:53:02.193972
3,ab_s20_pair_w0,20,0,pair,600,llama3.1:8b,25,600,21.72,2.172,48,2026-09-26T09:53:13.927829,2026-09-26T10:20:34.665974
3,ab_s20_pair_w0,20,0,pair,600,gemma4:e2b,25,600,5.62,0.562,48,2026-09-26T09:53:13.927829,2026-09-26T10:20:34.665974
4,ab_s20_pair_w1,20,1,pair,600,llama3.1:8b,25,600,21.13,2.113,48,2026-09-26T10:20:46.410143,2026-09-26T10:47:31.500032
4,ab_s20_pair_w1,20,1,pair,600,gemma4:e2b,25,600,5.61,0.561,48,2026-09-26T10:20:46.410143,2026-09-26T10:47:31.500032
5,ab_s21_pair_w0,21,0,pair,575,llama3.1:8b,25,575,20.65,2.154,46,2026-09-26T10:52:54.290843,2026-09-26T11:18:55.479682
5,ab_s21_pair_w0,21,0,pair,575,gemma4:e2b,25,575,5.36,0.56,46,2026-09-26T10:52:54.290843,2026-09-26T11:18:55.479682
6,ab_s21_pair_w1,21,1,pair,575,llama3.1:8b,25,575,20.73,2.163,46,2026-09-26T11:19:06.822478,2026-09-26T11:45:14.003280
6,ab_s21_pair_w1,21,1,pair,575,gemma4:e2b,25,575,5.38,0.561,46,2026-09-26T11:19:06.822478,2026-09-26T11:45:14.003280
7,ab_s21_scroll_w0,21,0,scroll,1150,llama3.1:8b,25,1150,22.72,1.185,46,2026-09-26T11:45:25.323802,2026-09-26T12:14:25.185563
7,ab_s21_scroll_w0,21,0,scroll,1150,gemma4:e2b,25,1150,6.27,0.327,46,2026-09-26T11:45:25.323802,2026-09-26T12:14:25.185563
8,ab_s21_scroll_w1,21,1,scroll,1150,llama3.1:8b,25,1150,22.86,1.193,46,2026-09-26T12:14:36.407230,2026-09-26T12:43:43.196526
8,ab_s21_scroll_w1,21,1,scroll,1150,gemma4:e2b,25,1150,6.25,0.326,46,2026-09-26T12:14:36.407230,2026-09-26T12:43:43.196526
9,ab_s22_scroll_w0,22,0,scroll,1250,llama3.1:8b,25,1250,24.47,1.175,50,2026-09-26T12:48:45.752795,2026-09-26T13:19:56.792899
9,ab_s22_scroll_w0,22,0,scroll,1250,gemma4:e2b,25,1250,6.71,0.322,50,2026-09-26T12:48:45.752795,2026-09-26T13:19:56.792899
10,ab_s22_scroll_w1,22,1,scroll,1250,llama3.1:8b,25,1250,24.38,1.17,50,2026-09-26T13:20:08.667110,2026-09-26T13:51:16.518785
10,ab_s22_scroll_w1,22,1,scroll,1250,gemma4:e2b,25,1250,6.74,0.323,50,2026-09-26T13:20:08.667110,2026-09-26T13:51:16.518785
11,ab_s22_pair_w0,22,0,pair,625,llama3.1:8b,25,625,22.14,2.126,50,2026-09-26T13:51:28.368943,2026-09-26T14:19:22.589080
11,ab_s22_pair_w0,22,0,pair,625,gemma4:e2b,25,625,5.75,0.552,50,2026-09-26T13:51:28.368943,2026-09-26T14:19:22.589080
12,ab_s22_pair_w1,22,1,pair,625,llama3.1:8b,25,625,21.74,2.087,50,2026-09-26T14:19:34.461901,2026-09-26T14:47:06.087605
12,ab_s22_pair_w1,22,1,pair,625,gemma4:e2b,25,625,5.78,0.555,50,2026-09-26T14:19:34.461901,2026-09-26T14:47:06.087605
